Время                                       Абсолютная
79                                          13674144
141                                         13674144
219                                         13674144
282                                         13674144
344                                         13674144
407                                         13674144
469                                         13674144
532                                         13674144
594                                         13674144
657                                         13674144
719                                         13674144
782                                         13674144
844                                         13674144
907                                         13674144
969                                         13674144
1032                                        13674144
1094                                        13674144
1172                                        13674144
1235                                        13674144
1297                                        13674144
1360                                        13674144
1422                                        13674144
1485                                        13674144
1563                                        13674144
1625                                        13674144
1688                                        13674144
1750                                        13674144
1813                                        13674144
1875                                        13674144
1938                                        13674144
2000                                        13674144
2063                                        13674144
2125                                        13674144
2188                                        13674144
2250                                        13674144
2313                                        13674144
2375                                        13674144
2438                                        13674144
2500                                        13674144
2563                                        13674144
2625                                        13674144
2688                                        13674144
2750                                        13674144
2813                                        13674144
2875                                        13674144
2938                                        13674144
3000                                        13674144
3063                                        13674144
3125                                        13674144
3188                                        13674144
3250                                        13674144
3313                                        13674144
3375                                        13674144
3438                                        13674144
3500                                        13674144
3563                                        13674144
3625                                        13674144
3688                                        13674144
3750                                        13674144
3813                                        13674144
3875                                        13674144
3954                                        13674144
4016                                        13674144
4094                                        13674144
4157                                        13674144
4219                                        13674144
4282                                        13674144
4344                                        13674144
4407                                        13674144
4469                                        13674144
4532                                        13674144
4594                                        13674144
4657                                        13674144
4719                                        13674144
4782                                        13674144
4844                                        13674144
4907                                        13674144
4969                                        13674144
5032                                        13674144
5094                                        13674144
5157                                        13674144
5219                                        13674144
5282                                        13674144
5344                                        13674144
5407                                        13674144
5469                                        13674144
5532                                        13674144
5594                                        13674144
5657                                        13674144
5719                                        13674144
5782                                        13674144
5844                                        13674144
5907                                        13674144
5969                                        13674144
6032                                        13674144
6094                                        13674144
6157                                        13674144
6219                                        13674144
6282                                        13674144
6344                                        13674144
6407                                        13674144
6469                                        13674144
6532                                        13674144
6594                                        13674144
6657                                        13674144
6719                                        13674144
6782                                        13674144
6844                                        13674144
6907                                        13674144
6969                                        13674144
7032                                        13674144
7094                                        13674144
7157                                        13674144
7219                                        13674144
7282                                        13674144
7344                                        13674144
7407                                        13674144
7469                                        13674144
7532                                        13674144
7594                                        13674144
7657                                        13674144
7719                                        13674144
7782                                        13674144
7844                                        13674144
7907                                        13674144
7969                                        13674144
8032                                        13674144
8094                                        13674144
8157                                        13674144
8219                                        13674144
8282                                        13674144
8344                                        13674144
8407                                        13674144
8469                                        13674144
8532                                        13674144
8594                                        13674144
8657                                        13674144
8719                                        13674144
8797                                        13674144
8860                                        13674144
8922                                        13674144
8985                                        13674144
9047                                        13674144
9110                                        13674141
9172                                        13674141
9235                                        13674139
9297                                        13674139
9360                                        13674139
9422                                        13674139
9485                                        13674139
9563                                        13674139
9625                                        13674138
9688                                        13674138
9750                                        13674138
9813                                        13674138
9875                                        13674138
9938                                        13674138
10000                                       13674138
10063                                       13674138
10125                                       13674138
10188                                       13674138
10250                                       13674138
10313                                       13674138
10375                                       13674138
10438                                       13674138
10500                                       13674137
10563                                       13674137
10625                                       13674137
10688                                       13674137
10750                                       13674137
10813                                       13674137
10875                                       13674137
10938                                       13674137
11000                                       13674137
11063                                       13674137
11125                                       13674137
11188                                       13674137
11250                                       13674137
11313                                       13674137
11375                                       13674137
11438                                       13674137
11500                                       13674137
11563                                       13674137
11625                                       13674137
11688                                       13674137
11750                                       13674137
11813                                       13674137
11875                                       13674137
11938                                       13674137
12000                                       13674137
12063                                       13674137
12125                                       13674137
12188                                       13674137
12250                                       13674137
12313                                       13674137
12375                                       13674137
12454                                       13674137
12516                                       13674137
12579                                       13674137
12641                                       13674137
12704                                       13674137
12766                                       13674137
12829                                       13674137
12891                                       13674137
12954                                       13674137
13016                                       13674136
13079                                       13674137
13141                                       13674137
13204                                       13674137
13266                                       13674137
13329                                       13674137
13391                                       13674137
13454                                       13674137
13516                                       13674137
13579                                       13674137
13641                                       13674137
13704                                       13674137
13766                                       13674137
13829                                       13674137
13891                                       13674137
13954                                       13674137
14016                                       13674137
14094                                       13674137
14157                                       13674136
14219                                       13674122
14297                                       13674122
14360                                       13674122
14422                                       13674122
14485                                       13674122
14563                                       13674122
14625                                       13674122
14688                                       13674122
14750                                       13674122
14813                                       13674122
14875                                       13674122
14938                                       13674122
15000                                       13674122
15063                                       13674122
15125                                       13674122
15188                                       13674122
15250                                       13674122
15313                                       13674122
15375                                       13674122
15438                                       13674122
15500                                       13674123
15563                                       13674123
15625                                       13674123
15688                                       13674123
15750                                       13674123
15813                                       13674123
15875                                       13674123
15938                                       13674123
16000                                       13674123
16063                                       13674123
16125                                       13674123
16188                                       13674123
16250                                       13674123
16313                                       13674123
16375                                       13674123
16438                                       13674123
16500                                       13674123
16563                                       13674123
16625                                       13674123
16688                                       13674123
16750                                       13674123
16813                                       13674123
16875                                       13674123
16938                                       13674123
17000                                       13674123
17063                                       13674123
17125                                       13674123
17188                                       13674123
17250                                       13674123
17313                                       13674123
17375                                       13674123
17438                                       13674123
17500                                       13674123
17563                                       13674123
17641                                       13674123
17704                                       13674123
17766                                       13674123
17829                                       13674123
17891                                       13674123
17954                                       13674123
18016                                       13674123
18094                                       13674123
18157                                       13674123
18219                                       13674123
18282                                       13674123
18344                                       13674123
18407                                       13674123
18469                                       13674123
18532                                       13674123
18594                                       13674123
18657                                       13674123
18719                                       13674123
18782                                       13674123
18844                                       13674123
18907                                       13674123
18969                                       13674123
19032                                       13674123
19094                                       13674123
19157                                       13674119
19219                                       13674119
19282                                       13674117
19344                                       13674118
19407                                       13674118
19469                                       13674118
19532                                       13674118
19594                                       13674118
19657                                       13674117
19719                                       13674117
19782                                       13674117
19844                                       13674117
19907                                       13674117
19969                                       13674117
